Gene_id	Gene_symbol	Protein_name	Uniprot_ACC
ENSMUSG00000045282	Tmem86b	Lysoplasmalogenase	TM86B_MOUSE
ENSMUSG00000041592	Sdk2	Protein sidekick-2	SDK2_MOUSE
ENSMUSG00000021660	Btf3	Transcription factor BTF3	BTF3_MOUSE
ENSMUSG00000031913	Vps4a	Vacuolar protein sorting-associated protein 4A	VPS4A_MOUSE
ENSMUSG00000025425	St8sia5	Alpha-2,8-sialyltransferase 8E	SIA8E_MOUSE
ENSMUSG00000038763	Alpk3	Alpha-protein kinase 3	ALPK3_MOUSE
ENSMUSG00000048967	Yjefn3	YjeF N-terminal domain-containing protein 3	YJEN3_MOUSE
ENSMUSG00000039962	Olfr906	Olfactory receptor	K7N5P3_MOUSE
ENSMUSG00000029559	2210016L21Rik	Protein CUSTOS	CSTOS_MOUSE
ENSMUSG00000020580	Rock2	Rho-associated protein kinase 2	ROCK2_MOUSE
ENSMUSG00000107877	ENSMUSG00000107877		
ENSMUSG00000008318	Relt	Tumor necrosis factor receptor superfamily member 19L	TR19L_MOUSE
ENSMUSG00000021785	Ngly1	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	NGLY1_MOUSE
ENSMUSG00000033022	Cdo1	Cysteine dioxygenase type 1	CDO1_MOUSE
ENSMUSG00000040034	Nup43	Nucleoporin Nup43	NUP43_MOUSE
ENSMUSG00000034265	Zdhhc14	Palmitoyltransferase ZDHHC14	ZDH14_MOUSE
ENSMUSG00000024841	Eif1ad	Probable RNA-binding protein EIF1AD	EIF1A_MOUSE
ENSMUSG00000021114	Atp6v1d	V-type proton ATPase subunit D	VATD_MOUSE
ENSMUSG00000024537	Psmg2	Proteasome assembly chaperone 2	PSMG2_MOUSE
ENSMUSG00000026051	Ecrg4	Augurin	AUGN_MOUSE
ENSMUSG00000041245	Wnk3	Serine/threonine-protein kinase WNK3	WNK3_MOUSE
ENSMUSG00000041439	Mfsd6	Major facilitator superfamily domain-containing protein 6	MFSD6_MOUSE
ENSMUSG00000024135	Srbd1	S1 RNA-binding domain-containing protein 1	SRBD1_MOUSE
ENSMUSG00000095330	Gm21834		
ENSMUSG00000035547	Capn5	Calpain-5	CAN5_MOUSE
ENSMUSG00000029270	Dipk1a	Divergent protein kinase domain 1A	DIK1A_MOUSE
ENSMUSG00000062712	Olfr531	Olfactory receptor 531	Q8VGL2_MOUSE
ENSMUSG00000051486	Pcdhb11	Uncharacterized protein	Q8C5K2_MOUSE
ENSMUSG00000039851	4932438H23Rik	Uncharacterized protein C21orf62 homolog	CU062_MOUSE
ENSMUSG00000035754	Wdr18	WD repeat-containing protein 18	WDR18_MOUSE
ENSMUSG00000036333	Kidins220	Truncated Kidins220 isoform m5	A0A076N1C3_MOUSE
ENSMUSG00000057894	Zfp329	Zinc finger protein 329	ZN329_MOUSE
ENSMUSG00000040729	Cep126	Centrosomal protein of 126 kDa	CE126_MOUSE
ENSMUSG00000064330	Pde6h	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma	CNCG_MOUSE
ENSMUSG00000035863	Palm	Paralemmin-1	PALM_MOUSE
ENSMUSG00000021357	Exoc2	Exocyst complex component 2	EXOC2_MOUSE
ENSMUSG00000033852	Gm28042	Phospholipase A2	B7ZCM9_MOUSE
ENSMUSG00000031543	Ank1	Ankyrin-1	ANK1_MOUSE
ENSMUSG00000078880	Gm14308	Novel KRAB box and zinc finger, C2H2 type domain containing protein	A2ART4_MOUSE
ENSMUSG00000024168	Tmem204	Transmembrane protein 204	TM204_MOUSE
ENSMUSG00000073678	Pgap1	GPI inositol-deacylase	PGAP1_MOUSE
ENSMUSG00000002032	Tmem25	Transmembrane protein 25	TMM25_MOUSE
ENSMUSG00000036432	Siah2	E3 ubiquitin-protein ligase SIAH2	SIAH2_MOUSE
ENSMUSG00000061311	Rag1	V(D)J recombination-activating protein 1	RAG1_MOUSE
ENSMUSG00000011382	Dhdh	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	DHDH_MOUSE
ENSMUSG00000025809	Itgb1	Integrin beta-1	ITB1_MOUSE
ENSMUSG00000031385	Plxnb3	Plexin-B3	PLXB3_MOUSE
ENSMUSG00000100486	Gm4131	Predicted gene 4131	A0A140LJ24_MOUSE
ENSMUSG00000020323	Prss57	Serine protease 57	PRS57_MOUSE
ENSMUSG00000074272	Ceacam1	Carcinoembryonic antigen-related cell adhesion molecule 1	CEAM1_MOUSE
ENSMUSG00000024982	Zdhhc6	Palmitoyltransferase ZDHHC6	ZDHC6_MOUSE
ENSMUSG00000047492	Inhbe	Inhibin beta E chain	INHBE_MOUSE
ENSMUSG00000022336	Eif3e	Eukaryotic translation initiation factor 3 subunit E	EIF3E_MOUSE
ENSMUSG00000027870	Hao2	Hydroxyacid oxidase 2	HAOX2_MOUSE
ENSMUSG00000071356	Reg3b	Regenerating islet-derived protein 3-beta	REG3B_MOUSE
ENSMUSG00000030103	Bhlhe40	Class E basic helix-loop-helix protein 40	BHE40_MOUSE
ENSMUSG00000024241	Sos1	Son of sevenless homolog 1	SOS1_MOUSE
ENSMUSG00000019846	Lama4	Laminin subunit alpha-4	LAMA4_MOUSE
ENSMUSG00000044352	Sowaha	Ankyrin repeat domain-containing protein SOWAHA	SWAHA_MOUSE
ENSMUSG00000046085	4931422A03Rik	RIKEN cDNA 4931422A03 gene	A2BHN9_MOUSE
ENSMUSG00000046971	Pla2g4f	Cytosolic phospholipase A2 zeta	PA24F_MOUSE
ENSMUSG00000050558	Prokr2	Prokineticin receptor 2	PKR2_MOUSE
ENSMUSG00000075229	Ccdc58	Protein MIX23	MIX23_MOUSE
ENSMUSG00000063253	Scoc	Short coiled-coil protein	SCOC_MOUSE
ENSMUSG00000005871	Apc	Adenomatous polyposis coli protein	APC_MOUSE
ENSMUSG00000025958	Creb1	Cyclic AMP-responsive element-binding protein 1	CREB1_MOUSE
ENSMUSG00000024831	Ighmbp2	DNA-binding protein SMUBP-2	SMBP2_MOUSE
ENSMUSG00000011884	Gltp	Glycolipid transfer protein	GLTP_MOUSE
ENSMUSG00000032217	Rnf111	E3 ubiquitin-protein ligase Arkadia	RN111_MOUSE
ENSMUSG00000027737	Slc7a11	Cystine/glutamate transporter	XCT_MOUSE
ENSMUSG00000013858	Tmem259	Membralin	MBRL_MOUSE
ENSMUSG00000050345	4930486L24Rik	Testin-2	TEST2_MOUSE
ENSMUSG00000046753	Ccdc66	Coiled-coil domain-containing protein 66	CCD66_MOUSE
ENSMUSG00000006019	Dhx34	Probable ATP-dependent RNA helicase DHX34	DHX34_MOUSE
ENSMUSG00000021403	Serpinb9b	SERPIN domain-containing protein	Q3TJ69_MOUSE
ENSMUSG00000079852	Klra4	Killer cell lectin-like receptor 4	KLRA4_MOUSE
ENSMUSG00000047034	Ankrd33	Photoreceptor ankyrin repeat protein	PANKY_MOUSE
ENSMUSG00000041697	Cox6a1	Cytochrome c oxidase subunit 6A1, mitochondrial	CX6A1_MOUSE
ENSMUSG00000025486	Sirt3	NAD-dependent protein deacetylase sirtuin-3	SIR3_MOUSE
ENSMUSG00000067951	Vmn1r227	Vomeronasal type-1 receptor	A0A3B2W3R4_MOUSE
ENSMUSG00000071650	Ganab	Neutral alpha-glucosidase AB	GANAB_MOUSE
ENSMUSG00000049353	Rd3	Protein RD3	RD3_MOUSE
ENSMUSG00000047591	Mafa	Transcription factor MafA	MAFA_MOUSE
ENSMUSG00000038980	Rbbp8nl	RBBP8 N-terminal-like	A2ABX0_MOUSE
ENSMUSG00000031155	Pim2	Serine/threonine-protein kinase pim-2	PIM2_MOUSE
ENSMUSG00000044798	Olfr923	Olfactory receptor	F6WBH4_MOUSE
ENSMUSG00000060166	Zdhhc8	Palmitoyltransferase ZDHHC8	ZDHC8_MOUSE
ENSMUSG00000028911	Srsf4	Serine/arginine-rich splicing factor 4	SRSF4_MOUSE
ENSMUSG00000026696	Vamp4	Vesicle-associated membrane protein 4	VAMP4_MOUSE
ENSMUSG00000025482	Odf3	Outer dense fiber protein 3	ODF3A_MOUSE
ENSMUSG00000032872	Cyb5r4	Cytochrome b5 reductase 4	NB5R4_MOUSE
ENSMUSG00000079494	Nat8f5	Probable N-acetyltransferase CML5	CMLO5_MOUSE
ENSMUSG00000033080	Vsx1	Visual system homeobox 1	VSX1_MOUSE
ENSMUSG00000046573	Lyrm4	LYR motif-containing protein 4	LYRM4_MOUSE
ENSMUSG00000016283	H2-M2	H2-M2 protein	B2RWS1_MOUSE
ENSMUSG00000037720	Tmem33	Transmembrane protein 33	TMM33_MOUSE
ENSMUSG00000069833	Ahnak	AHNAK nucleoprotein (desmoyokin)	A0A494B8Y7_MOUSE
ENSMUSG00000024248	Cox7a2l	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	COX7R_MOUSE
ENSMUSG00000057604	Lmcd1	LIM and cysteine-rich domains protein 1	LMCD1_MOUSE
ENSMUSG00000067365	Tmem128	Transmembrane protein 128	TM128_MOUSE
ENSMUSG00000037759	Ptger2	Prostaglandin E2 receptor EP2 subtype	PE2R2_MOUSE
ENSMUSG00000021614	Vcan	Versican core protein	CSPG2_MOUSE
ENSMUSG00000015405	Ace2	Angiotensin-converting enzyme 2	ACE2_MOUSE
ENSMUSG00000090266	Mettl23	Methyltransferase-like protein 23	MET23_MOUSE
ENSMUSG00000118670	Muc19		
ENSMUSG00000050967	Creg2	Protein CREG2	CREG2_MOUSE
ENSMUSG00000025156	Gps1	COP9 signalosome complex subunit 1	CSN1_MOUSE
ENSMUSG00000040111	Gramd1b	Protein Aster-B	ASTRB_MOUSE
ENSMUSG00000037568	Vash2	Tubulinyl-Tyr carboxypeptidase 2	VASH2_MOUSE
ENSMUSG00000067924	Rtl8b	CAAX box 1 homolog A (Human)	Q9D1F0_MOUSE
ENSMUSG00000022247	Brix1	Ribosome biogenesis protein BRX1 homolog	BRX1_MOUSE
ENSMUSG00000071311	Gpr31b	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor	GPR31_MOUSE
ENSMUSG00000051224	Tceanc	Transcription elongation factor A N-terminal and central domain-containing protein	TEANC_MOUSE
ENSMUSG00000038495	Otud7b	OTU domain-containing protein 7B	OTU7B_MOUSE
ENSMUSG00000020892	Aloxe3	Hydroperoxide isomerase ALOXE3	LOXE3_MOUSE
ENSMUSG00000048458	Inka2	PAK4-inhibitor INKA2	INKA2_MOUSE
ENSMUSG00000078689	Mup6	Major urinary protein 2	A2AV72_MOUSE
ENSMUSG00000000244	Tspan32	Tetraspanin-32	TSN32_MOUSE
ENSMUSG00000029819	Npy	Pro-neuropeptide Y	NPY_MOUSE
ENSMUSG00000019373	Cops3	COP9 signalosome complex subunit 3	CSN3_MOUSE
ENSMUSG00000038738	Shank1	SH3 and multiple ankyrin repeat domains protein 1	SHAN1_MOUSE
ENSMUSG00000028096	Gpr89	Golgi pH regulator	GPHR_MOUSE
ENSMUSG00000037134	Prmt9	Protein arginine N-methyltransferase 9	ANM9_MOUSE
ENSMUSG00000070871	Ccnyl1	Cyclin Y-like 1	A0A087WPI4_MOUSE
ENSMUSG00000000439	Mkrn2	Probable E3 ubiquitin-protein ligase makorin-2	MKRN2_MOUSE
ENSMUSG00000092049	Vmn2r4	Vomeronasal 2, receptor 4	A0A3B2WB57_MOUSE
ENSMUSG00000035372	1810055G02Rik	Uncharacterized protein C11orf24 homolog	CK024_MOUSE
ENSMUSG00000025533	Asl	Argininosuccinate lyase	ARLY_MOUSE
ENSMUSG00000061906	Ugt2b38	UDP glucuronosyltransferase 2 family, polypeptide B38	Q91WH2_MOUSE
ENSMUSG00000036966	Spryd3	SPRY domain-containing 3	E9Q9B3_MOUSE
ENSMUSG00000014496	Ankrd28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	ANR28_MOUSE
ENSMUSG00000033917	Gde1	Glycerophosphodiester phosphodiesterase 1	GDE1_MOUSE
ENSMUSG00000028468	Rgp1	RAB6A-GEF complex partner protein 2	RGP1_MOUSE
ENSMUSG00000027327	1700037H04Rik	UPF0687 protein C20orf27 homolog	CT027_MOUSE
ENSMUSG00000020389	Cdkl3	Cyclin-dependent kinase-like 3	CDKL3_MOUSE
ENSMUSG00000034575	Tent4a	Terminal nucleotidyltransferase 4A	PAPD7_MOUSE
ENSMUSG00000041375	Ccdc9	Coiled-coil domain-containing protein 9	CCDC9_MOUSE
ENSMUSG00000003623	Crot	Peroxisomal carnitine O-octanoyltransferase	OCTC_MOUSE
ENSMUSG00000069899	Gm12166		
ENSMUSG00000003068	Stk11	Serine/threonine-protein kinase STK11	STK11_MOUSE
ENSMUSG00000098650	Commd1b		
ENSMUSG00000068431	Olfr742	Olfactory receptor	A2RTP5_MOUSE
ENSMUSG00000057193	Slc44a2	Choline transporter-like protein 2	CTL2_MOUSE
ENSMUSG00000055882	Abhd16b	Protein ABHD16B	ABHGB_MOUSE
ENSMUSG00000036019	Tmtc2	Protein O-mannosyl-transferase TMTC2	TMTC2_MOUSE
ENSMUSG00000046719	Nxph3	Neurexophilin-3	NXPH3_MOUSE
ENSMUSG00000041911	Dlx1	Homeobox protein DLX-1	DLX1_MOUSE
ENSMUSG00000025932	Eya1	Eyes absent homolog 1	EYA1_MOUSE
ENSMUSG00000090662	Vmn2r45	Vomeronasal 2, receptor 45	L7N2B5_MOUSE
ENSMUSG00000068876	Cgn	Cingulin	CING_MOUSE
ENSMUSG00000059689	Zfp637	Zinc finger protein 32	ZNF32_MOUSE
ENSMUSG00000025245	Lztfl1	Leucine zipper transcription factor-like protein 1	LZTL1_MOUSE
ENSMUSG00000051146	Camk2n2	Calcium/calmodulin-dependent protein kinase II inhibitor 2	CK2N2_MOUSE
ENSMUSG00000078496	Zfp982	Zinc finger protein 982	A2A8Q4_MOUSE
ENSMUSG00000022686	B3gnt5	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase	B3GN5_MOUSE
ENSMUSG00000025473	Adam8	Disintegrin and metalloproteinase domain-containing protein 8	ADAM8_MOUSE
ENSMUSG00000026683	Nuf2	Kinetochore protein Nuf2	NUF2_MOUSE
ENSMUSG00000045098	Kmt5b	Histone-lysine N-methyltransferase KMT5B	KMT5B_MOUSE
ENSMUSG00000097392	Thoc2l	THO complex subunit 2	E9Q5E2_MOUSE
ENSMUSG00000055994	Nod2	Nucleotide-binding oligomerization domain-containing protein 2	NOD2_MOUSE
ENSMUSG00000115338	Pnp	Purine nucleoside phosphorylase	PNPH_MOUSE
ENSMUSG00000020620	Abca8b	ABC-type organic anion transporter ABCA8B	ABC8B_MOUSE
ENSMUSG00000079263	Gm6614	Solute carrier organic anion transporter family member	L7N251_MOUSE
ENSMUSG00000043962	Thrap3	Thyroid hormone receptor-associated protein 3	TR150_MOUSE
ENSMUSG00000051504	Siglech	Uncharacterized protein	A0A4W8_MOUSE
ENSMUSG00000044199	S1pr4	Sphingosine 1-phosphate receptor 4	S1PR4_MOUSE
ENSMUSG00000026228	Htr2b	5-hydroxytryptamine receptor 2B	5HT2B_MOUSE
ENSMUSG00000036083	Slc17a3	Solute carrier family 17 (sodium phosphate), member 3	G3UWD9_MOUSE
ENSMUSG00000033082	Clec1a	C-type lectin domain family 1 member A	CLC1A_MOUSE
ENSMUSG00000027894	Slc6a17	Sodium-dependent neutral amino acid transporter SLC6A17	S6A17_MOUSE
ENSMUSG00000055555	Ct55	Cancer/testis antigen 55	Q14BQ3_MOUSE
ENSMUSG00000042102	Dmgdh	Dimethylglycine dehydrogenase, mitochondrial	M2GD_MOUSE
ENSMUSG00000031534	Smim19	Small integral membrane protein 19	SMI19_MOUSE
ENSMUSG00000047766	Lrrc49	Leucine-rich repeat-containing protein 49	LRC49_MOUSE
ENSMUSG00000033256	Shf	SH2 domain-containing adapter protein F	SHF_MOUSE
ENSMUSG00000025176	Hoga1	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1_MOUSE
ENSMUSG00000032892	Rangrf	Ran guanine nucleotide release factor	MOG1_MOUSE
ENSMUSG00000020250	Txnrd1	Thioredoxin reductase 1, cytoplasmic	TRXR1_MOUSE
ENSMUSG00000043998	Mgat2	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT2_MOUSE
ENSMUSG00000031896	Ctrl	Peptidase S1 domain-containing protein	Q9D7P8_MOUSE
ENSMUSG00000027247	Arhgap1	Rho GTPase-activating protein 1	RHG01_MOUSE
ENSMUSG00000063358	Mapk1	Mitogen-activated protein kinase 1	MK01_MOUSE
ENSMUSG00000075467	Dnlz	DNL-type zinc finger protein	DNLZ_MOUSE
ENSMUSG00000034177	Rnf43	E3 ubiquitin-protein ligase RNF43	RNF43_MOUSE
ENSMUSG00000056174	Col8a2	Collagen alpha-2(VIII) chain	CO8A2_MOUSE
ENSMUSG00000063785	Utp14a	U3 small nucleolar RNA-associated protein 14 homolog A	UT14A_MOUSE
ENSMUSG00000063145	Bbs5	Bardet-Biedl syndrome 5 protein homolog	BBS5_MOUSE
ENSMUSG00000055707	Klhl26	Kelch-like protein 26	KLH26_MOUSE
ENSMUSG00000025784	Clec3b	Tetranectin	TETN_MOUSE
ENSMUSG00000029686	Cul1	Cullin-1	CUL1_MOUSE
ENSMUSG00000022132	Cldn10	Claudin-10	CLD10_MOUSE
ENSMUSG00000091013	Vmn1r1	Vomeronasal type-1 receptor	E9PVR6_MOUSE
ENSMUSG00000035278	Plekhj1	Pleckstrin homology domain-containing family J member 1	PKHJ1_MOUSE
ENSMUSG00000052302	Tbc1d30	TBC1 domain family member 30	TBC30_MOUSE
ENSMUSG00000005371	Fbxo11	F-box only protein 11	FBX11_MOUSE
ENSMUSG00000038604	Ripor1	Rho family-interacting cell polarization regulator 1	RIPR1_MOUSE
ENSMUSG00000031216	Stard8	StAR-related lipid transfer protein 8	STAR8_MOUSE
ENSMUSG00000022364	Tbc1d31	TBC1 domain family member 31	TBC31_MOUSE
ENSMUSG00000057335	Cep170	Centrosomal protein of 170 kDa	CE170_MOUSE
ENSMUSG00000031821	Gins2	DNA replication complex GINS protein PSF2	PSF2_MOUSE
ENSMUSG00000024270	Slc39a6	Zinc transporter ZIP6	S39A6_MOUSE
ENSMUSG00000024012	Mtch1	Mitochondrial carrier homolog 1	MTCH1_MOUSE
ENSMUSG00000064128	Cenpj	Centromere protein J	CENPJ_MOUSE
ENSMUSG00000020003	Pex7	Peroxisomal targeting signal 2 receptor	PEX7_MOUSE
ENSMUSG00000108763	Gm36028	Predicted gene, 36028	A0A0U1RPM1_MOUSE
ENSMUSG00000078937	Cpt1b	Carnitine O-palmitoyltransferase 1, muscle isoform	CPT1B_MOUSE
ENSMUSG00000005378	Bud23	Probable 18S rRNA (guanine-N(7))-methyltransferase	BUD23_MOUSE
ENSMUSG00000033159	Cnppd1	Protein CNPPD1	CNPD1_MOUSE
ENSMUSG00000039427	Alg1	Chitobiosyldiphosphodolichol beta-mannosyltransferase	ALG1_MOUSE
ENSMUSG00000020273	Papolg	Poly(A) polymerase gamma	PAPOG_MOUSE
ENSMUSG00000038768	9130409I23Rik	Sphingolipid 4-desaturase	Q3TS87_MOUSE
ENSMUSG00000001707	Eef1e1	Eukaryotic translation elongation factor 1 epsilon-1	MCA3_MOUSE
ENSMUSG00000032841	Prr5l	Proline-rich protein 5-like	PRR5L_MOUSE
ENSMUSG00000020180	Snrpd3	Small nuclear ribonucleoprotein Sm D3	SMD3_MOUSE
ENSMUSG00000051397	Tacstd2	Tumor-associated calcium signal transducer 2	TACD2_MOUSE
ENSMUSG00000050271	Prag1	Inactive tyrosine-protein kinase PRAG1	PRAG1_MOUSE
ENSMUSG00000073007	Tent5d	Terminal nucleotidyltransferase 5D	B1ATX4_MOUSE
ENSMUSG00000020205	Phlda1	Pleckstrin homology-like domain family A member 1	PHLA1_MOUSE
ENSMUSG00000021732	Fgf10	Fibroblast growth factor 10	FGF10_MOUSE
ENSMUSG00000056124	B4galt6	Beta-1,4-galactosyltransferase 6	B4GT6_MOUSE
ENSMUSG00000049493	Pls1	Plastin-1	PLSI_MOUSE
ENSMUSG00000033826	Dnah8	Dynein axonemal heavy chain 8	DYH8_MOUSE
ENSMUSG00000021751	Acox2	Peroxisomal acyl-coenzyme A oxidase 2	ACOX2_MOUSE
ENSMUSG00000020057	Dram1	DNA damage-regulated autophagy modulator protein 1	DRAM1_MOUSE
ENSMUSG00000034488	Edil3	EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3_MOUSE
ENSMUSG00000032262	Elovl4	Elongation of very long chain fatty acids protein 4	ELOV4_MOUSE
ENSMUSG00000031286	Glt28d2	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase	Q0VD95_MOUSE
ENSMUSG00000046567	4930430F08Rik	Uncharacterized protein C12orf29 homolog	CL029_MOUSE
ENSMUSG00000037750	Fam222b	Protein FAM222B	F222B_MOUSE
ENSMUSG00000114133	Gm20075		
ENSMUSG00000004347	Pde1c	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C	PDE1C_MOUSE
ENSMUSG00000051590	Map3k19	Mitogen-activated protein kinase kinase kinase 19	M3K19_MOUSE
ENSMUSG00000006398	Cdc20	Cell division cycle protein 20 homolog	CDC20_MOUSE
ENSMUSG00000019082	Slc25a22	Mitochondrial glutamate carrier 1	GHC1_MOUSE
ENSMUSG00000053465	Hs6st3	Heparan-sulfate 6-O-sulfotransferase 3	H6ST3_MOUSE
ENSMUSG00000078261	Gm11596	Predicted gene 11596	B1AQB0_MOUSE
ENSMUSG00000037805	Rpl10a	60S ribosomal protein L10a	RL10A_MOUSE
ENSMUSG00000026259	Ngef	Ephexin-1	NGEF_MOUSE
ENSMUSG00000031125	3830403N18Rik	RIKEN cDNA 3830403N18 gene	Q9D6C3_MOUSE
ENSMUSG00000030225	Dera	Deoxyribose-phosphate aldolase	DEOC_MOUSE
ENSMUSG00000021242	Npc2	NPC intracellular cholesterol transporter 2	NPC2_MOUSE
ENSMUSG00000038085	Cnbd2	Cyclic nucleotide-binding domain-containing protein 2	CNBD2_MOUSE
ENSMUSG00000114432	Gm49391		
ENSMUSG00000010663	Fads1	Acyl-CoA (8-3)-desaturase	FADS1_MOUSE
ENSMUSG00000026791	Slc2a8	Solute carrier family 2, facilitated glucose transporter member 8	GTR8_MOUSE
ENSMUSG00000046192	Iqub	IQ and ubiquitin-like domain-containing protein	IQUB_MOUSE
ENSMUSG00000061981	Flot2	Flotillin-2	FLOT2_MOUSE
ENSMUSG00000037296	Lsm1	U6 snRNA-associated Sm-like protein LSm1	LSM1_MOUSE
ENSMUSG00000030523	Trpm1	Transient receptor potential cation channel subfamily M member 1	TRPM1_MOUSE
ENSMUSG00000003778	Brd8	Bromodomain-containing protein 8	BRD8_MOUSE
ENSMUSG00000050199	Lgr4	Leucine-rich repeat-containing G-protein coupled receptor 4	LGR4_MOUSE
ENSMUSG00000051950	B3glct	Beta-1,3-glucosyltransferase	B3GLT_MOUSE
ENSMUSG00000067276	Capn6	Calpain-6	CAN6_MOUSE
ENSMUSG00000041777	Cir1	Corepressor interacting with RBPJ 1	CIR1_MOUSE
ENSMUSG00000027580	Helz2	Helicase with zinc finger domain 2	HELZ2_MOUSE
ENSMUSG00000074165	Zfp788	Zinc finger protein 788	D3YVB5_MOUSE
ENSMUSG00000005148	Klf5	Krueppel-like factor 5	KLF5_MOUSE
ENSMUSG00000046364	Rpl27a	60S ribosomal protein L27a	RL27A_MOUSE
ENSMUSG00000079597	Cstdc4	Cystatin domain-containing 4	B2RV77_MOUSE
ENSMUSG00000028402	Mpdz	Multiple PDZ domain protein	MPDZ_MOUSE
ENSMUSG00000099216	Obox8		
ENSMUSG00000020952	Scfd1	Sec1 family domain-containing protein 1	SCFD1_MOUSE
ENSMUSG00000031444	F10	Coagulation factor X	FA10_MOUSE
ENSMUSG00000005718	Tfap4	Transcription factor AP4	A0A2R8VI80_MOUSE
ENSMUSG00000059816	Shisal2a	Protein shisa-like-2A	SHL2A_MOUSE
ENSMUSG00000096099	Vmn1r220	Vomeronasal type-1 receptor	Q8R272_MOUSE
ENSMUSG00000021192	Golga5	Golgin subfamily A member 5	GOGA5_MOUSE
ENSMUSG00000054057	A930004D18Rik	RIKEN cDNA A930004D18 gene	Q8C8W7_MOUSE
ENSMUSG00000066687	Zbtb16	Zbtb16 protein	A3KMN0_MOUSE
ENSMUSG00000020018	Snrpf	Small nuclear ribonucleoprotein F	RUXF_MOUSE
ENSMUSG00000063652	Slc22a21	Solute carrier family 22 member 21	S22AL_MOUSE
ENSMUSG00000000983	Wfdc18	WAP four-disulfide core domain protein 18	WFD18_MOUSE
ENSMUSG00000020641	Rsad2	Radical S-adenosyl methionine domain-containing protein 2	RSAD2_MOUSE
ENSMUSG00000026029	Casp8	Caspase-8	CASP8_MOUSE
ENSMUSG00000046139	Patl1	Protein PAT1 homolog 1	PATL1_MOUSE
ENSMUSG00000078570	1110065P20Rik	Uncharacterized protein C1orf122 homolog	CA122_MOUSE
ENSMUSG00000049969	Plekhf2	Pleckstrin homology domain-containing family F member 2	PKHF2_MOUSE
ENSMUSG00000034430	Zxdc	Zinc finger protein ZXDC	ZXDC_MOUSE
ENSMUSG00000060429	Sntb1	Beta-1-syntrophin	SNTB1_MOUSE
ENSMUSG00000025137	Pcyt2	Ethanolamine-phosphate cytidylyltransferase	PCY2_MOUSE
ENSMUSG00000016940	Kctd2	BTB/POZ domain-containing protein KCTD2	KCTD2_MOUSE
ENSMUSG00000060586	H2-Eb1	H-2 class II histocompatibility antigen, E-B beta chain	HB21_MOUSE
ENSMUSG00000118578	1700014B07Rik		
ENSMUSG00000045215	Asxl3	Putative Polycomb group protein ASXL3	ASXL3_MOUSE
ENSMUSG00000061607	Mdc1	Mediator of DNA damage checkpoint protein 1	MDC1_MOUSE
ENSMUSG00000049130	C5ar1	C5a anaphylatoxin chemotactic receptor 1	C5AR1_MOUSE
ENSMUSG00000097550	Gm21304	Predicted gene 6763	J3QP73_MOUSE
ENSMUSG00000072934	Trpc5os	Putative uncharacterized protein TRPC5OS homolog	TR5OS_MOUSE
ENSMUSG00000046865	Fbl	rRNA 2'-O-methyltransferase fibrillarin	FBRL_MOUSE
ENSMUSG00000045039	Megf8	Multiple epidermal growth factor-like domains protein 8	MEGF8_MOUSE
ENSMUSG00000115463	Gm49356		
ENSMUSG00000062619	2310039H08Rik	Uncharacterized protein C6orf226 homolog	CF226_MOUSE
ENSMUSG00000019768	Esr1	Estrogen receptor	ESR1_MOUSE
ENSMUSG00000046961	Gpr156	Probable G-protein coupled receptor 156	GP156_MOUSE
ENSMUSG00000025892	Gria4	Glutamate receptor 4	GRIA4_MOUSE
ENSMUSG00000073791	Efcab7	EF-hand calcium-binding domain-containing protein 7	EFCB7_MOUSE
ENSMUSG00000048988	Elfn1	Protein ELFN1	ELFN1_MOUSE
ENSMUSG00000026418	Tnni1	Troponin I, slow skeletal muscle	TNNI1_MOUSE
ENSMUSG00000049173	Myoz3	Myozenin-3	MYOZ3_MOUSE
ENSMUSG00000029924	Slc37a3	Sugar phosphate exchanger 3	SPX3_MOUSE
ENSMUSG00000021431	Snrnp48	U11/U12 small nuclear ribonucleoprotein 48 kDa protein	SNR48_MOUSE
ENSMUSG00000028307	Aldob	Fructose-bisphosphate aldolase B	ALDOB_MOUSE
ENSMUSG00000001555	Fkbp10	Peptidyl-prolyl cis-trans isomerase FKBP10	FKB10_MOUSE
ENSMUSG00000031662	Snx20	Sorting nexin-20	SNX20_MOUSE
ENSMUSG00000021846	Peli2	E3 ubiquitin-protein ligase pellino homolog 2	PELI2_MOUSE
ENSMUSG00000096688	Mup17	Major urinary protein 17	MUP17_MOUSE
ENSMUSG00000044092	C130050O18Rik	RIKEN cDNA C130050O18 gene	F7AVJ9_MOUSE
